"","g0","g1","g2","g3","g4","g5","g6"
"Ercc5",0.334969637806637,0.401557144784031,0.26239297685768,0.198278620520262,0.220452014639617,0.243114196931437,0.573220265746689
"Gulp1",4.01718761756551e-05,0.000120938812061916,5.40358372589288e-05,0,0,0,0
"Col5a2",0.000550836030266689,0.0010036692472361,0,0.000340407295491794,0,0.000431407799266296,0.00384361114954722
"Wdr75",1.29426727256775,1.25708501961741,1.55404573005316,1.65774881602659,1.36107725580073,1.45262700215187,0.825764904593254
"Gm57168",8.49116173331787e-05,7.87479653100723e-05,6.51995209660796e-05,0,0,0,0
"Dnah7b",0.000582141023469608,0.000324162515926804,0.000393095430350848,0.00067290999720628,0.000863302001027513,0,0.00131891234574496
"Dnah7c",0.00031100863267853,0.00030569579952735,0.000307641544348085,0.000410601231808673,0,0,0
"Slc39a10",0.258950364858001,0.323419450813535,0.330239366555285,0.339850689733348,0.220053744691339,0.278333460657692,0.179045620722235
"Gm28151",0.000947176871482555,0.00142879877334231,0.00101205742608214,0.00138247822215151,0.00172683046971777,0.00058474789208618,0
"C230029F24Rik",0,0,8.82547226161128e-05,0,0,0,0
