state,miRNA,gene,n_clusters,coverage,regions
Tn,mmu-miR-466i-5p,Cry2,1,7.70611404191993,3' UTR
Tn,mmu-miR-466i-5p,Spg11,1,4.74847546254408,intron
Tn,mmu-miR-26a-5p,B2m,1,18.4524382311673,CDS
Tn,mmu-miR-361-5p,B2m,1,12.9814814093027,CDS
Tn,mmu-miR-142a-5p,B2m,1,27.2632994188289,3' UTR
Tn,mmu-miR-466i-5p,Bloc1s6,1,5.42527070306543,3' UTR
Tn,mmu-miR-24-3p,Nop56,2,23.6534737315613,ncRNA_exon
Tn,mmu-miR-484,Nop56,1,12.6025947110434,ncRNA_exon
Tn,mmu-miR-466i-5p,Cds2,1,7.33468732136243,3' UTR
Tn,mmu-miR-466i-5p,Shld1,1,3.44910822640266,intron
Tn,mmu-miR-345-5p,Snx5,1,4,ncRNA_exon
Tn,mmu-miR-466i-5p,Ralgapa2,1,5.08827997729857,intron
Tn,mmu-miR-466i-5p,Xrn2,1,4.90098292606516,intron
Tn,mmu-miR-466i-5p,Ppp1r16b,3,16.028140742097,intron
Tn,mmu-let-7g-5p,Serinc3,1,6.31942545997492,CDS
Tn,mmu-miR-466i-5p,Stk4,1,7.5838324881845,intron
Tn,mmu-miR-466i-5p,Prex1,3,14.6116067583216,intron
Tn,mmu-miR-706,Prex1,1,4.5,intron
Tn,mmu-miR-466i-5p,Nfatc2,1,9.5568559126358,intron
Tn,mmu-miR-466i-5p,Stx16,1,4.85544217687075,3' UTR
Tn,mmu-miR-16-5p,Gnas,1,112.173570695513,3' UTR
Tn,mmu-miR-466i-5p,Zfp831,1,8.22020607606262,intron
Tn,mmu-miR-466i-5p,Tbl1xr1,2,24.6609867918211,3' UTR
Tn,mmu-miR-466i-5p,Tnik,6,38.3573676422456,"intron,ncRNA_exon"
Tn,mmu-miR-466i-5p,Mgst2,1,5.56851786657279,intron
Tn,mmu-miR-466i-5p,Foxo1,2,12.7680491977644,intron
Tn,mmu-miR-466i-5p,Mbnl1,10,67.0287971497742,"intron,ncRNA_exon"
Tn,mmu-miR-466i-5p,Kpna4,4,199.240630117672,"intron,ncRNA_exon"
Tn,mmu-miR-342-3p,Kpna4,1,6.43192227951479,ncRNA_exon
Tn,mmu-miR-466i-5p,Ash1l,2,16.8615066509658,3' UTR
Tn,mmu-miR-142a-3p,Txnip,1,23.7748558734136,3' UTR
Tn,mmu-miR-466i-5p,Cd2,1,4.8242781965581,intron
