"coarse_annot","condition","replicate","set","mean_score","n_cells"
"Stem-like","EV","rep2","H: HYPOXIA",0.0797342936023556,43
"Stem-like","EV","rep2","H: IL2 STAT5 SIGNALING",0.0898936235645793,43
"Stem-like","EV","rep2","H: MTORC1 SIGNALING",0.151020830549726,43
"Stem-like","EV","rep2","H: MYC TARGETS V1",0.351673579151038,43
"Stem-like","EV","rep2","H: MYC TARGETS V2",0.128078105545163,43
"Stem-like","EV","rep2","H: OXIDATIVE PHOSPHORYLATION",0.228578572175443,43
"Stem-like","EV","rep2","H: REACTIVE OXYGEN SPECIES PATHWAY",0.146944817228098,43
"Stem-like","EV","rep2","H: TNFA SIGNALING VIA NFKB",0.0555548858121698,43
"Stem-like","EV","rep2","H: UNFOLDED PROTEIN RESPONSE",0.145232245144257,43
"Stem-like","EV","rep2","Module1 MetabolicStress Hypoxia",0.0977626726359901,43
"Stem-like","EV","rep2","Module2 MetabolicResilience OxFitness",0.0468754784760257,43
"Stem-like","EV","rep2","Module3A MitoOrganization",0.12473173100485,43
"Stem-like","EV","rep2","Module3B Mitophagy Damage",0.0946999281148608,43
"Stem-like","EV","rep2","Module3 MitoQualityControl",0.113750489263485,43
"Stem-like","EV","rep2","Module4 Activation Anabolic",0.206766337223914,43
"Stem-like","Scr","rep1","GO: AUTOPHAGY",0.0970749593548775,50
"Stem-like","Scr","rep1","GO: MITOCHONDRIAL BIOGENESIS",0.0995389542628626,50
"Stem-like","Scr","rep1","GO: MITOPHAGY",0.108849701691775,50
"Stem-like","Scr","rep1","GO: RIBOSOME BIOGENESIS",0.211490567527034,50
"Stem-like","Scr","rep1","H: APOPTOSIS",0.108760419380047,50
"Stem-like","Scr","rep1","H: FATTY ACID METABOLISM",0.072559309276949,50
"Stem-like","Scr","rep1","H: GLYCOLYSIS",0.0760990523822058,50
"Stem-like","Scr","rep1","H: HYPOXIA",0.0858790471176625,50
"Stem-like","Scr","rep1","H: IL2 STAT5 SIGNALING",0.0946224014810897,50
"Stem-like","Scr","rep1","H: MTORC1 SIGNALING",0.156051915252594,50
"Stem-like","Scr","rep1","H: MYC TARGETS V1",0.346417989043723,50
"Stem-like","Scr","rep1","H: MYC TARGETS V2",0.129506251695264,50
"Stem-like","Scr","rep1","H: OXIDATIVE PHOSPHORYLATION",0.205116530018514,50
"Stem-like","Scr","rep1","H: REACTIVE OXYGEN SPECIES PATHWAY",0.122949675187716,50
"Stem-like","Scr","rep1","H: TNFA SIGNALING VIA NFKB",0.0629631314467072,50
"Stem-like","Scr","rep1","H: UNFOLDED PROTEIN RESPONSE",0.151598568038659,50
"Stem-like","Scr","rep1","Module1 MetabolicStress Hypoxia",0.104772304599146,50
"Stem-like","Scr","rep1","Module2 MetabolicResilience OxFitness",0.0282805429864253,50
"Stem-like","Scr","rep1","Module3A MitoOrganization",0.136917287429079,50
"Stem-like","Scr","rep1","Module3B Mitophagy Damage",0.0915616819827346,50
"Stem-like","Scr","rep1","Module3 MitoQualityControl",0.120370849194379,50
"Stem-like","Scr","rep1","Module4 Activation Anabolic",0.245606685096758,50
"Stem-like","Scr","rep2","GO: AUTOPHAGY",0.0922281950189344,112
"Stem-like","Scr","rep2","GO: MITOCHONDRIAL BIOGENESIS",0.101302516432993,112
