miRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,sig
mmu-let-7b-5p,103.475107668745,-0.444409251556527,0.57920648643104,-0.767272573715277,0.442919471397882,0.91579856085954,Tex_vs_Teff,FALSE
mmu-let-7d-5p,241.493052171444,0.386849779994931,0.533258296678776,0.725445403108208,0.468178827620819,0.91579856085954,Tex_vs_Teff,FALSE
mmu-miR-103-3p,60.3933316626796,-0.629182221742315,0.715420208888299,-0.879458273508948,0.379152847879193,0.91579856085954,Tex_vs_Teff,FALSE
mmu-miR-17-5p,92.2270384988497,-0.575010158205002,0.835617494998086,-0.688126040499331,0.491373413264808,0.91579856085954,Tex_vs_Teff,FALSE
mmu-miR-181a-5p,11.585205144693,1.28471669320059,1.8374603487792,0.699180634866027,0.484439151133009,0.91579856085954,Tex_vs_Teff,FALSE
mmu-miR-19a-3p,2.37573548409925,-3.0108249228871,3.46571140761187,-0.868746577188834,0.384985759247672,0.91579856085954,Tex_vs_Teff,FALSE
mmu-miR-301a-3p,5.96676690647253,1.11945825176137,1.64455475652681,0.68070597668976,0.496057553798918,0.91579856085954,Tex_vs_Teff,FALSE
mmu-miR-30e-5p,42.0046677169651,-0.593705899668919,0.830528828425963,-0.714852849592379,0.474699974554135,0.91579856085954,Tex_vs_Teff,FALSE
mmu-miR-342-3p,64.2183419386469,-0.510544669247626,0.687574211804174,-0.742530275979915,0.457766115201583,0.91579856085954,Tex_vs_Teff,FALSE
mmu-miR-361-5p,10.1838859521415,-1.09140451135122,1.44885087869937,-0.753289746651477,0.451275818873541,0.91579856085954,Tex_vs_Teff,FALSE
mmu-miR-378a-3p,49.7061539265641,-0.744830421996099,0.868539788666741,-0.857566264338283,0.391132010026555,0.91579856085954,Tex_vs_Teff,FALSE
mmu-miR-378b,11.4348677818941,-1.00191605421763,1.44875555967818,-0.691570118592116,0.489207332439771,0.91579856085954,Tex_vs_Teff,FALSE
mmu-miR-378c,2.28903630066812,-2.59578912820799,3.05919493429134,-0.848520340796557,0.396148249277284,0.91579856085954,Tex_vs_Teff,FALSE
