miRNA,state,mean_logN,mean_norm,rel_pct
mmu-miR-345-5p,Tmem,0,0,0
mmu-miR-345-5p,Tex,0,0,0
mmu-miR-3470b,Tn,3.81729528552039,15.4345371266496,0.07817995306201
mmu-miR-3470b,Teff,3.15602952792632,8.33686001530287,0.0431250309423884
mmu-miR-3470b,Tmem,2.88402017343143,7.06900843787243,0.0424576977213133
mmu-miR-3470b,Tex,0,0,0
mmu-miR-3473a,Tn,4.26675248560123,23.5587918542398,0.11933142058287
mmu-miR-3473a,Teff,1.35662240647444,2.77897479718462,0.0143751213162658
mmu-miR-3473a,Tmem,1.52565370721556,3.64481415143325,0.0218913895565378
mmu-miR-3473a,Tex,1.58657989035456,4.01010112160346,0.021758200750957
mmu-miR-3473b,Tn,7.10560353813053,197.449418850615,1.00013276531689
mmu-miR-3473b,Teff,7.25139510212411,175.769657005982,0.909223842454142
mmu-miR-3473b,Tmem,5.9500987384346,84.171827750864,0.505550679519663
mmu-miR-3473b,Tex,8.75835921965272,432.043875463177,2.34420457003101
mmu-miR-34a-3p,Tn,0,0,0
mmu-miR-34a-3p,Teff,3.20678508056055,8.33686806233424,0.0431250725681895
mmu-miR-34a-3p,Tmem,1.04654489663578,1.63330433429314,0.00980991072818699
mmu-miR-34a-3p,Tex,1.58657989035456,4.01010112160346,0.021758200750957
mmu-miR-34a-5p,Tn,1.40065366292202,2.98535914781849,0.0151216221215152
mmu-miR-34a-5p,Teff,8.26422449011332,309.854160950124,1.60281811786142
mmu-miR-34a-5p,Tmem,6.60216739015187,97.1439755948297,0.583463662195497
mmu-miR-34a-5p,Tex,7.80987014464422,234.529630061007,1.27252221781246
mmu-miR-3535,Tn,4.27639866962489,39.2995599218632,0.199062513170155
mmu-miR-3535,Teff,5.47585256193401,43.7686277387793,0.226406995208755
mmu-miR-3535,Tmem,5.0576110538813,33.1731537086806,0.19924374755022
mmu-miR-3535,Tex,6.4253734390244,109.412856143721,0.593657570350437
mmu-miR-361-5p,Tn,4.00607182808853,15.2814216561626,0.0774043832993724
mmu-miR-361-5p,Teff,3.75545529544233,12.5053141640484,0.0646876712909859
mmu-miR-361-5p,Tmem,3.02736517745812,7.60200649288378,0.045658977010284
mmu-miR-361-5p,Tex,1.77382380563277,5.34680149547128,0.0290109343346094
mmu-miR-362-3p,Tn,0,0,0
mmu-miR-362-3p,Teff,1.94837200649646,6.94743699296156,0.0359378032906645
mmu-miR-362-3p,Tmem,1.58751536364013,2.03159021762432,0.0122020852162728
mmu-miR-362-3p,Tex,0,0,0
mmu-miR-365-3p,Tn,0,0,0
mmu-miR-365-3p,Teff,0,0,0
mmu-miR-365-3p,Tmem,1.4469001739595,1.72785570500488,0.0103778027532279
mmu-miR-365-3p,Tex,4.61353866057461,25.1041810220915,0.136211480409906
mmu-miR-378a-3p,Tn,6.27063823753964,82.6751323237568,0.418771091833179
mmu-miR-378a-3p,Teff,5.40872389907146,41.6844046879222,0.215625695847357
mmu-miR-378a-3p,Tmem,5.68622444073327,50.4946646053864,0.303279763377938
mmu-miR-378a-3p,Tex,4.39464527602856,23.9704140891909,0.130059832912054
mmu-miR-378b,Tn,4.92263434762526,29.9019864542812,0.151461354381673
mmu-miR-378b,Teff,2.8518601621996,6.2526611055399,0.0323438564583935
mmu-miR-378b,Tmem,2.98228678342591,6.91142282001953,0.0415112110129118
mmu-miR-378b,Tex,1.33301486057475,2.67340074773564,0.0145054671673047
mmu-miR-378c,Tn,2.40444158070897,4.49588910906199,0.02277285004625
mmu-miR-378c,Teff,1.18486754524612,2.08423109788847,0.0107813409871993
mmu-miR-378c,Tmem,1.83715095909591,2.57602499572203,0.0154720554590018
mmu-miR-378c,Tex,0,0,0
mmu-miR-3960,Tn,2.52363548087483,6.16845973445955,0.0312448561656109
mmu-miR-3960,Teff,2.36972835185353,4.16843805468281,0.0215625570969953
mmu-miR-3960,Tmem,0,0,0
mmu-miR-3960,Tex,1.33301486057475,2.67340074773564,0.0145054671673047
mmu-miR-3963,Tn,1.2268297319124,2.23901936086387,0.0113412165911364
mmu-miR-3963,Teff,3.20678508056055,8.33686806233424,0.0431250725681895
mmu-miR-3963,Tmem,1.10781043628355,1.82240707571662,0.0109456947782689
