"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Tm9sf3",45.7062377401873,0.395402596100166,0.47422452216813,0.0697098086051568,0.290592325980806
"Lpp",120.501451480418,-0.328361018243482,0.391253235401766,0.0713153795267308,0.295618523432382
"Dnajc2",37.2260893307536,0.398114574141055,0.489383888127454,0.0730597781338424,0.300356865661352
"Cog5",80.5936116088337,-0.342829733145561,0.411993461113275,0.0730382783487355,0.300356865661352
"Rngtt",61.985187077836,-0.357474126646481,0.433523381522087,0.0743634578290681,0.304463501521472
"Foxo1",37.5704098064532,-0.379242363273612,0.467556648069041,0.0757071046300212,0.30869958173629
"Lyst",86.0741804006379,-0.330387923065571,0.402712846484917,0.0760671520429157,0.308906849149889
"Ets1",174.090458600064,0.310718990182968,0.379757482359381,0.0764036333642873,0.309017124416692
"Ppp2r5a",42.6479783272513,0.372537335680882,0.46916564922747,0.0800152930662494,0.315084903056419
"Rpl35",142.524448644017,0.315808472316489,0.393256086603633,0.0807146929650277,0.315084903056419
"Prpf40a",64.4982655337539,0.341663383947651,0.428544276380457,0.0817760920739526,0.315084903056419
"Atp8b4",54.2247254430224,-0.35466781810027,0.449407742298067,0.082931617008068,0.315084903056419
"Tpm3",72.63987054251,0.354308892353907,0.443819000760097,0.0807446398057749,0.315084903056419
"Chd7",85.3861556030545,-0.335554213524991,0.414982398399538,0.0790534919781679,0.315084903056419
"Zcchc7",115.863523444588,-0.304114089809738,0.382064399747663,0.0825737624860183,0.315084903056419
"Khdrbs1",58.5528459818197,0.352285051587819,0.440900322595741,0.0807175664719927,0.315084903056419
"Gimap4",75.9434712505491,0.34697025034435,0.435100691998549,0.0814429660411129,0.315084903056419
"Gprin3",56.777017098207,-0.360084315912775,0.4467439560368,0.0784979798748177,0.315084903056419
"Hnrnpl",42.547227502325,0.36716484744103,0.467083731896574,0.0823835800815201,0.315084903056419
"Rrm1",42.5078735263385,0.366266765026943,0.465331742926202,0.0822569068855717,0.315084903056419
"Ubb",64.5159999311672,0.348714580410883,0.434030818994477,0.079848406153594,0.315084903056419
"Smc6",67.5401990239924,0.33681460422454,0.425021999646291,0.0832656800869817,0.315084903056419
"Gdi2",36.9281867930802,0.381516311658265,0.483039913615707,0.0797426925201288,0.315084903056419
"Btbd9",45.9555412826748,-0.355058303120173,0.444858867253163,0.0807334366670142,0.315084903056419
"Prkce",50.7667850537696,-0.343217615765333,0.433628260465662,0.0831849815982321,0.315084903056419
"Tomm70a",45.2540794474563,0.357892665630127,0.457713770162664,0.0843780779496982,0.318089433478296
"Hnrnpa2b1",217.435884677938,0.280570250609716,0.357525682429955,0.0850045680446307,0.319167439463792
"Ezr",43.1459768370593,0.358363775739376,0.460728938388746,0.0853030093461785,0.319167439463792
"Ranbp2",57.4084675814605,0.337664532304832,0.434027021081919,0.087122751597616,0.324759809126934
"Top2b",43.4807651947399,0.351912036019522,0.456977712488704,0.087914325181586,0.326492233666931
"Rpl26",92.4178699611062,0.311142320362497,0.400539064397611,0.0884536923483648,0.32727866168895
"AU020206",56.5204655712335,0.33386891178089,0.43480260456619,0.0901832076674255,0.332446584722354
"Srgap2",82.3293622243036,-0.301475532469142,0.392685913387074,0.0913455755897459,0.335493492699103
"Hp1bp3",51.1918729509036,0.330931099527042,0.436589072781167,0.0932220931223785,0.340017815274605
"Fndc3a",108.418964615183,-0.298808846809264,0.392194343797931,0.0932581395247665,0.340017815274605
"Tgfbr2",36.5219288734018,-0.342360938256733,0.4572235149881,0.0945678821273076,0.343539324527928
"Asap1",48.6406020495046,-0.322771250128297,0.428978424160957,0.0955045163778945,0.345684825585205
"Hnrnpd",59.1222167543332,0.318804725225152,0.42411276078834,0.0959915734885143,0.346193436516338
"Laptm5",82.7169213487354,0.321269112338656,0.430196667762005,0.0973399836504055,0.349793682254515
"Camk1d",218.59844246199,0.287160283709,0.384039980213733,0.0980440266762761,0.350019822003361
"Zfp407",67.3512773849493,-0.302472426170353,0.40469558129834,0.0981036538147558,0.350019822003361
"Arhgap26",36.1154222565612,-0.331432215260653,0.448864750860169,0.0988461673983377,0.351413954558503
"Immp2l",70.3471575656077,-0.298018645115409,0.405323924280632,0.102448992739698,0.362931006194886
"Micos10",33.8934173923808,0.336931478909139,0.468992406340347,0.103591186270929,0.365680548002326
